"","Date","gdp","m2","gov","Y","M","G","Y.lag","M.lag","G.lag","y.growth","m.growth","g.growth","dmg","dgg","dmg1","dgg1","dmg2","dgg2","dmg3","dgg3","mg4","gg4"
"123",1990-07-01,9404.494,2470.9,2375.306,9.14894293911821,7.81233773572413,7.77288155027457,9.14827803589371,7.81754492451393,7.77129186046434,0.000664903224492974,-0.0052071887898002,0.00158968981023655,-0.0052071887898002,1.43623234354351e-05,-0.000201324717314932,-0.014288500640399,-0.0126053346112354,0.0108602000447817,0.00880142265170747,-0.00395308384263515,0.00400523667684283,0.00895671192505354
"124",1990-10-01,9318.876,2443.3,2391.188,9.1397972995484,7.80110486355473,7.77954559255633,9.14894293911821,7.81233773572413,7.77288155027457,-0.0091456395698053,-0.0112328721694066,0.00666404228175921,-0.00602568337960641,0.00507435247152266,-0.0052071887898002,1.43623234354351e-05,-0.000201324717314932,-0.014288500640399,-0.0126053346112354,0.0108602000447817,0.0128066593285503,0.00500362808241839
"125",1991-01-01,9275.276,2440.8,2405.447,9.13510764444529,7.80008113340246,7.78549102805538,9.1397972995484,7.80110486355473,7.77954559255633,-0.00468965510310859,-0.00102373015226487,0.00594543549904447,0.0102091420171417,-0.000718606782714737,-0.00602568337960641,0.00507435247152266,-0.0052071887898002,1.43623234354351e-05,-0.000201324717314932,-0.014288500640399,0.000201324717314932,0.0158638281272001
"126",1991-04-01,9347.597,2466.6,2415.232,9.14287458390361,7.81059596313189,7.78955062772519,9.13510764444529,7.80008113340246,7.78549102805538,0.00776693945831397,0.0105148297294271,0.00405959966981673,0.0115385598816919,-0.00188583582922774,0.0102091420171417,-0.000718606782714737,-0.00602568337960641,0.00507435247152266,-0.0052071887898002,1.43623234354351e-05,0,0.00157532748680111
"127",1991-07-01,9394.834,2464.1,2408.467,9.14791524271861,7.80958190824547,7.78674572450246,9.14287458390361,7.81059596313189,7.78955062772519,0.0050406588150036,-0.0010140548864177,-0.00280490322273064,-0.0115288846158448,-0.00686450289254736,0.0115385598816919,-0.00188583582922774,0.0102091420171417,-0.000718606782714737,-0.00602568337960641,0.00507435247152266,-0.0052071887898002,0.00158968981023655
"128",1991-10-01,9427.581,2449.1,2390.844,9.15139482098104,7.80347588911158,7.7794017206623,9.14791524271861,7.80958190824547,7.78674572450246,0.00347957826243395,-0.00610601913388731,-0.00734400384016709,-0.0050919642474696,-0.00453910061743645,-0.0115288846158448,-0.00686450289254736,0.0115385598816919,-0.00188583582922774,0.0102091420171417,-0.000718606782714737,-0.0112328721694066,0.00666404228175921
"129",1992-01-01,9540.444,2444.8,2412.033,9.16329530423984,7.8017185989722,7.78822523934552,9.15139482098104,7.80347588911158,7.7794017206623,0.011900483258799,-0.00175729013938053,0.0088235186832275,0.00434872899450678,0.0161675225233946,-0.0050919642474696,-0.00453910061743645,-0.0115288846158448,-0.00686450289254736,0.0115385598816919,-0.00188583582922774,-0.00102373015226487,0.00594543549904447
"130",1992-04-01,9643.893,2438.8,2407.369,9.17408014425818,7.79926139403366,7.78628972890003,9.16329530423984,7.8017185989722,7.78822523934552,0.010784840018335,-0.00245720493854051,-0.00193551044549611,-0.000699914799159984,-0.0107590291287236,0.00434872899450678,0.0161675225233946,-0.0050919642474696,-0.00453910061743645,-0.0115288846158448,-0.00686450289254736,0.0105148297294271,0.00405959966981673
"131",1992-07-01,9739.185,2415.6,2422.703,9.1839127175709,7.78970298243375,7.79263913798371,9.17408014425818,7.79926139403366,7.78628972890003,0.00983257331272647,-0.00955841159991522,0.0063494090836782,-0.0071012066613747,0.00828491952917432,-0.000699914799159984,-0.0107590291287236,0.00434872899450678,0.0161675225233946,-0.0050919642474696,-0.00453910061743645,-0.0010140548864177,-0.00280490322273064
"132",1992-10-01,9840.753,2416.2,2422.424,9.1942875115087,7.78995133708546,7.79252397072377,9.1839127175709,7.78970298243375,7.79263913798371,0.0103747939377978,0.000248354651717797,-0.000115167259933102,0.00980676625163301,-0.00646457634361131,-0.0071012066613747,0.00828491952917432,-0.000699914799159984,-0.0107590291287236,0.00434872899450678,0.0161675225233946,-0.00610601913388731,-0.00734400384016709
"133",1993-01-01,9857.185,2394.3,2392.371,9.19595590987726,7.78084619155007,7.78004020337816,9.1942875115087,7.78995133708546,7.79252397072377,0.0016683983685617,-0.00910514553539077,-0.0124837673456151,-0.00935350018710857,-0.012368600085682,0.00980676625163301,-0.00646457634361131,-0.0071012066613747,0.00828491952917432,-0.000699914799159984,-0.0107590291287236,-0.00175729013938053,0.0088235186832275
"134",1993-04-01,9914.565,2372.3,2392.585,9.20176016707163,7.77161522766832,7.78012965038672,9.19595590987726,7.78084619155007,7.78004020337816,0.00580425719437017,-0.0092309638817536,8.94470085581744e-05,-0.000125818346362827,0.0125732143541732,-0.00935350018710857,-0.012368600085682,0.00980676625163301,-0.00646457634361131,-0.0071012066613747,0.00828491952917432,-0.00245720493854051,-0.00193551044549611
"135",1993-07-01,9961.873,2382,2395.987,9.20652038510788,7.77569574991525,7.7815505335111,9.20176016707163,7.77161522766832,7.78012965038672,0.00476021803624604,0.00408052224692579,0.00142088312438915,0.0133114861286794,0.00133143611583098,-0.000125818346362827,0.0125732143541732,-0.00935350018710857,-0.012368600085682,0.00980676625163301,-0.00646457634361131,-0.00955841159991522,0.0063494090836782
"136",1993-10-01,10097.362,2374.1,2404.447,9.22002948059498,7.77237369728162,7.78507521847021,9.20652038510788,7.77569574991525,7.7815505335111,0.0135090954871018,-0.00332205263362262,0.00352468495910951,-0.00740257488054841,0.00210380183472036,0.0133114861286794,0.00133143611583098,-0.000125818346362827,0.0125732143541732,-0.00935350018710857,-0.012368600085682,0.000248354651717797,-0.000115167259933102
"137",1994-01-01,10195.338,2375.2,2374.698,9.22968583596561,7.77283692344955,7.77262555048875,9.22002948059498,7.77237369728162,7.78507521847021,0.00965635537063037,0.000463226167926933,-0.0124496679814605,0.00378527880154955,-0.01597435294057,-0.00740257488054841,0.00210380183472036,0.0133114861286794,0.00133143611583098,-0.000125818346362827,0.0125732143541732,-0.00910514553539077,-0.0124837673456151
"138",1994-04-01,10333.495,2365,2386.451,9.24314583983808,7.76853330092603,7.7775626040751,9.22968583596561,7.77283692344955,7.77262555048875,0.0134600038724688,-0.00430362252351646,0.00493705358634244,-0.00476684869144339,0.017386721567803,0.00378527880154955,-0.01597435294057,-0.00740257488054841,0.00210380183472036,0.0133114861286794,0.00133143611583098,-0.0092309638817536,8.94470085581744e-05
"139",1994-07-01,10393.898,2350.5,2426.679,9.24897418216638,7.76238335046419,7.79427893492729,9.24314583983808,7.76853330092603,7.7775626040751,0.00582834232829832,-0.00614995046184763,0.0167163308521925,-0.00184632793833117,0.01177927726585,-0.00476684869144339,0.017386721567803,0.00378527880154955,-0.01597435294057,-0.00740257488054841,0.00210380183472036,0.00408052224692579,0.00142088312438915
"140",1994-10-01,10512.962,2332.2,2405.565,9.26036425099686,7.75456730708623,7.78554008218371,9.24897418216638,7.76238335046419,7.79427893492729,0.0113900688304849,-0.00781604337795283,-0.00873885274358166,-0.0016660929161052,-0.0254551835957741,-0.00184632793833117,0.01177927726585,-0.00476684869144339,0.017386721567803,0.00378527880154955,-0.01597435294057,-0.00332205263362262,0.00352468495910951
